artist,release
"MC Jam","Undress (Extended Version) / Protect And Serve[RELEASE]"
"Pee Wee Jam","Undress (Extended Version) / Protect And Serve[RELEASE]"
"Fat Jon","Humanoid Erotica[RELEASE]"
"Maurice Galactica","Humanoid Erotica[RELEASE]"
"""Fast"" Eddie Smith","Booty Call[RELEASE]"
"DJ Sneak","Booty Call[RELEASE]"
"Toshinobu Kubota","Just The Two Of Us[RELEASE]"
"Caron Wheeler","Just The Two Of Us[RELEASE]"
N*E*R*D,Lapdance[RELEASE]
"Lee Harvey",Lapdance[RELEASE]
"Vita (3)",Lapdance[RELEASE]
"Missy Elliott","One Minute Man[RELEASE]"
Ludacris,"One Minute Man[RELEASE]"
"Beam Vs. Cyrus","U Can't Touch This[RELEASE]"
"MC Hammer","U Can't Touch This[RELEASE]"
"Fatman Scoop","Be Faithful[RELEASE]"
"Crooklyn Clan","Be Faithful[RELEASE]"
"MC 900 Ft Jesus","Truth Is Out Of Style[RELEASE]"
"DJ Zero","Truth Is Out Of Style[RELEASE]"
"Crazy L'eggs","Get 'Em Down[RELEASE]"
"Aim To Please","Get 'Em Down[RELEASE]"
"Bobby Konders","Bobby Konders & Massive Sounds[RELEASE]"
"Massive Sounds","Bobby Konders & Massive Sounds[RELEASE]"
"Chubb Rock","Ya Bad Chubbs[RELEASE]"
"Howie Tee","Ya Bad Chubbs[RELEASE]"
"Truth Hurts",Addictive[RELEASE]
Rakim,Addictive[RELEASE]
"DJ Yas","Angler Fish[RELEASE]"
"Tommy Guerrero","Angler Fish[RELEASE]"
"Million Dan","No Replica[RELEASE]"
"Raw As F**K","No Replica[RELEASE]"
"The 2 Live Crew","We Want Some Pussy (Rap-House Remix) / Miami Bass (Original Mixes)[RELEASE]"
"Blow That Bass And Pump That Whistle","We Want Some Pussy (Rap-House Remix) / Miami Bass (Original Mixes)[RELEASE]"
"Sabrina Setlur",Freisein[RELEASE]
"Xavier Naidoo",Freisein[RELEASE]
B.E.W.A.R.E.,"Pick Up The Pieces[RELEASE]"
"Tony Scott","Pick Up The Pieces[RELEASE]"
"DJ Fix (2)","Pick Up The Pieces[RELEASE]"
"Bomb The Bass","Bug Powder Dust[RELEASE]"
"Justin Warfield","Bug Powder Dust[RELEASE]"
"Kenny ""Dope"" Gonzalez",Dondadda[RELEASE]
"The Mad Racket",Dondadda[RELEASE]
"DJ Proper","Uber Thugs E.P[RELEASE]"
"The Grand Lordmaster","Uber Thugs E.P[RELEASE]"
"Biz Markie","Turn Tha Party Out / Monumental[RELEASE]"
"Lone Catalysts","Turn Tha Party Out / Monumental[RELEASE]"
Moby,"Jam For The Ladies[RELEASE]"
"Princess Superstar","Jam For The Ladies[RELEASE]"
"The High & Mighty","B-Boy Document / Mind, Soul & Body[RELEASE]"
"Mos Def","B-Boy Document / Mind, Soul & Body[RELEASE]"
EL-P,"B-Boy Document / Mind, Soul & Body[RELEASE]"
"Mike Zoot","B-Boy Document / Mind, Soul & Body[RELEASE]"
"Disco Rick","Can You Feel It[RELEASE]"
"The Wolf Pack (3)","Can You Feel It[RELEASE]"
"The Rapsody","Dear Mallika[RELEASE]"
"LL Cool J","Dear Mallika[RELEASE]"
"Salt 'N' Pepa","Push It / Hit 'Em With This / I Am Down[RELEASE]"
Antoinette,"Push It / Hit 'Em With This / I Am Down[RELEASE]"
"Curtis Mayfield","Superfly 1990[RELEASE]"
Ice-T,"Superfly 1990[RELEASE]"
"MC Duke","The Final Conflict / I'm Riffin' 1990 Remix[RELEASE]"
"DJ Leader 1","The Final Conflict / I'm Riffin' 1990 Remix[RELEASE]"
"A Tribe Called Quest","After Hours[RELEASE]"
"Sir Piers","After Hours[RELEASE]"
"Monique Bingham","After Hours[RELEASE]"
"Frankie Hi-NRG MC","Faccio La Mia Cosa[RELEASE]"
Aeroplanitaliani,"Faccio La Mia Cosa[RELEASE]"
Luke,"Banned In The U.S.A. - The Luke LP[RELEASE]"
"The 2 Live Crew","Banned In The U.S.A. - The Luke LP[RELEASE]"
"C + C Music Factory","Keep It Comin' (Dance Till You Can't Dance No More!)[RELEASE]"
Q-Unique,"Keep It Comin' (Dance Till You Can't Dance No More!)[RELEASE]"
"Deborah Cooper","Keep It Comin' (Dance Till You Can't Dance No More!)[RELEASE]"
"Super Star A-Mar","Grasshopper Meets The Master[RELEASE]"
"Jay Bee Rock","Grasshopper Meets The Master[RELEASE]"
"Starchild (4)","B-Boy Breakers[RELEASE]"
"Disco Bee","B-Boy Breakers[RELEASE]"
"Godhead (2)","Surface Tension E.P.[RELEASE]"
Triad,"Surface Tension E.P.[RELEASE]"
"DXJ & The Miami Bass Mob","Do You Want To Rock / Uh Uno Tres Four[RELEASE]"
"The Latin Maggots","Do You Want To Rock / Uh Uno Tres Four[RELEASE]"
Afrob,Reimemonster[RELEASE]
"Ferris MC",Reimemonster[RELEASE]
"Dynamix II","Techno Bass / Feel The Bass[RELEASE]"
"Kidd Money","Techno Bass / Feel The Bass[RELEASE]"
"Teddy Riley","My Fantasy[RELEASE]"
Guy,"My Fantasy[RELEASE]"
UNKLE,"Guns Blazing[RELEASE]"
"Kool G Rap","Guns Blazing[RELEASE]"
P!NK,"Feel Good Time[RELEASE]"
"William Orbit","Feel Good Time[RELEASE]"
"Lightning Rich","Santa's Groove[RELEASE]"
"Big John (19)","Santa's Groove[RELEASE]"
"The Maniacs (9)","Santa's Groove[RELEASE]"
"The Genius","Liquid Swords[RELEASE]"
GZA,"Liquid Swords[RELEASE]"
"Lateef The Truth Speaker","Lester Hayes[RELEASE]"
"Chief Xcel","Lester Hayes[RELEASE]"
Maroons,"Lester Hayes[RELEASE]"
"Doctor Rocx and Co.","Tak'in It To The Floor[RELEASE]"
"Kydd Freshh","Tak'in It To The Floor[RELEASE]"
Seville,"Make It Funky[RELEASE]"
"Jazzy Jay","Make It Funky[RELEASE]"
"King Shameek","Make It Funky[RELEASE]"
"Sparky D","She's So Def / He's My DJ[RELEASE]"
"Red Alert","She's So Def / He's My DJ[RELEASE]"
"Mr. Holiday","L.A. Against N.Y. / N.Y. Against L.A.[RELEASE]"
"MC Miker G","L.A. Against N.Y. / N.Y. Against L.A.[RELEASE]"
Seville,"Take A Walk[RELEASE]"
"Jazzy Jay","Take A Walk[RELEASE]"
"DJ Shadow","FReeZe Original Sound Track[RELEASE]"
"Cut Chemist","FReeZe Original Sound Track[RELEASE]"
"Smitty D","Kic Kic[RELEASE]"
"Rock Squad","Kic Kic[RELEASE]"
"Mos Def","Wylin' Out (Kut Masta Kurt Remix)[RELEASE]"
Diverse,"Wylin' Out (Kut Masta Kurt Remix)[RELEASE]"
"Latin Alliance","Low Rider[RELEASE]"
"Kid Frost","Low Rider[RELEASE]"
"Bad Boys","Bad Boys[RELEASE]"
"K Love","Bad Boys[RELEASE]"
"Roxanne Shanté","Round 1[RELEASE]"
"Sparky D","Round 1[RELEASE]"
"Talib Kweli","The Express / Some Kind Of Wonderful[RELEASE]"
Hi-Tek,"The Express / Some Kind Of Wonderful[RELEASE]"
"Reflection Eternal","The Express / Some Kind Of Wonderful[RELEASE]"
"Mos Def","Ms. Fat Booty 2 / The Grimy Way[RELEASE]"
"Big Noyd","Ms. Fat Booty 2 / The Grimy Way[RELEASE]"
"Mos Def","Next Universe / Patriotism / When It Pours It Rains[RELEASE]"
"Company Flow","Next Universe / Patriotism / When It Pours It Rains[RELEASE]"
"Diamond D","Next Universe / Patriotism / When It Pours It Rains[RELEASE]"
Eminem,"Any Man / WWIII[RELEASE]"
"Pharoahe Monch","Any Man / WWIII[RELEASE]"
"Shabaam Sahdeeq","Any Man / WWIII[RELEASE]"
"M.C. Chill","Bust This Rhyme[RELEASE]"
"D.J. Kid Finesse","Bust This Rhyme[RELEASE]"
"Beatmaster T","Bust This Rhyme[RELEASE]"
"Smokey Dee","All You Need Is The Bass These Days[RELEASE]"
DXJ,"All You Need Is The Bass These Days[RELEASE]"
"Super J.B.","All You Need Is The Bass These Days[RELEASE]"
"Hurby Luv Bug","The Show Stoppa (Is Stupid Fresh)[RELEASE]"
"Super Nature","The Show Stoppa (Is Stupid Fresh)[RELEASE]"
"The Real Roxanne",Romeo[RELEASE]
"Howie Tee",Romeo[RELEASE]
"Davy D","Davy's Ride[RELEASE]"
"Hurricane (2)","Davy's Ride[RELEASE]"
Fugees,"Rumble In The Jungle[RELEASE]"
"A Tribe Called Quest","Rumble In The Jungle[RELEASE]"
"Busta Rhymes","Rumble In The Jungle[RELEASE]"
"John Forte","Rumble In The Jungle[RELEASE]"
"Melanie B","I Want You Back[RELEASE]"
"Missy Elliott","I Want You Back[RELEASE]"
"The Roots","You Got Me[RELEASE]"
"Erykah Badu","You Got Me[RELEASE]"
GZA,"Breaker, Breaker / Publicity[RELEASE]"
"The Genius","Breaker, Breaker / Publicity[RELEASE]"
"Talib Kweli","The Blast[RELEASE]"
Hi-Tek,"The Blast[RELEASE]"
"Reflection Eternal","The Blast[RELEASE]"
"Ennio Morricone",Remixes[RELEASE]
"International Pony",Remixes[RELEASE]
"Crazy Baldheads (2)",Remixes[RELEASE]
Tricky,Juxtapose[RELEASE]
"DJ Muggs",Juxtapose[RELEASE]
"Damon ""Grease"" Blackman",Juxtapose[RELEASE]
"Viktor Vaughn","Rae Dawn / Change The Beat[RELEASE]"
"MF Doom","Rae Dawn / Change The Beat[RELEASE]"
"Gary Wallace","Party Time[RELEASE]"
"Jammin' J","Party Time[RELEASE]"
Sting,"Roxanne 97 (Puff Daddy Remix)[RELEASE]"
"The Police","Roxanne 97 (Puff Daddy Remix)[RELEASE]"
"Bootsy Collins","I'm Leavin U (Gotta Go, Gotta Go)[RELEASE]"
"MC Lyte","I'm Leavin U (Gotta Go, Gotta Go)[RELEASE]"
"Benny B","Perfect, Daddy K Et Moi[RELEASE]"
"DJ Daddy K","Perfect, Daddy K Et Moi[RELEASE]"
Perfect,"Perfect, Daddy K Et Moi[RELEASE]"
A.L.T.,Tequila[RELEASE]
"The Lost Civilization",Tequila[RELEASE]
"Planet Patrol","Play At Your Own Risk / Planet Rock[RELEASE]"
"Afrika Bambaataa & Soulsonic Force","Play At Your Own Risk / Planet Rock[RELEASE]"
"Prince Paul","More Than U Know[RELEASE]"
"De La Soul","More Than U Know[RELEASE]"
"Son Of Bazerk","Bang (Get Down, Get Down)![RELEASE]"
"No Self Control And The Band","Bang (Get Down, Get Down)![RELEASE]"
"Bus (2)","Keep Life Right[RELEASE]"
"MC Soom-T","Keep Life Right[RELEASE]"
"Asher D (2)","Ragamuffin Darlin'[RELEASE]"
"Misty (4)","Ragamuffin Darlin'[RELEASE]"
"MC Duke","Organised Rhyme[RELEASE]"
"DJ Leader 1","Organised Rhyme[RELEASE]"
"Mark B","Any More Questions?[RELEASE]"
M.C.M.,"Any More Questions?[RELEASE]"
"Big Ted","Any More Questions?[RELEASE]"
"Mos Def","Oh No[RELEASE]"
"Pharoahe Monch","Oh No[RELEASE]"
"Nate Dogg","Oh No[RELEASE]"
"Scritti Politti","Another Sound Mission (Mystic Handyman Pt 2)[RELEASE]"
"Likwit Crew","Another Sound Mission (Mystic Handyman Pt 2)[RELEASE]"
Kelz,"Clash Of The Beats[RELEASE]"
"DJ Lynx","Clash Of The Beats[RELEASE]"
"Det Reirruc","Axel F[RELEASE]"
"The Latin Rascals","Axel F[RELEASE]"
"Dominique Lee","Good Time[RELEASE]"
Q-Dee,"Good Time[RELEASE]"
"Glamour Girls","Oh! Veronica[RELEASE]"
"Craig G","Oh! Veronica[RELEASE]"
"Mr. Wax Master Torey","12 Inches The Hard Way[RELEASE]"
"DJ Sound Machine","12 Inches The Hard Way[RELEASE]"
Asheru,"Soon Come...[RELEASE]"
"Blue Black","Soon Come...[RELEASE]"
"The Unspoken Heard","Soon Come...[RELEASE]"
"Son Of Bazerk","Change The Style[RELEASE]"
"No Self Control And The Band","Change The Style[RELEASE]"
"Divine Styler","Word Power[RELEASE]"
"The Scheme Team","Word Power[RELEASE]"
"Major Mackerel","Hot / Real Love[RELEASE]"
Makeda,"Hot / Real Love[RELEASE]"
"Mike Zoot","Spread Love / Minders[RELEASE]"
"Rubix (2)","Spread Love / Minders[RELEASE]"
"The Mistress","I Got Your Wild Thang[RELEASE]"
"DJ Madame E","I Got Your Wild Thang[RELEASE]"
"Ma Futura","Penny Dun Drop[RELEASE]"
"Hylton Smythe","Penny Dun Drop[RELEASE]"
Fallacy,"Big 'N Bashy[RELEASE]"
"Tubby T","Big 'N Bashy[RELEASE]"
"Anjali (2)","Rhythm Is My Life[RELEASE]"
"Preshuz T.","Rhythm Is My Life[RELEASE]"
"Terminator X","It All Comes Down To The Money[RELEASE]"
"The Godfathers Of Threatt","It All Comes Down To The Money[RELEASE]"
Whodini,"It All Comes Down To The Money[RELEASE]"
"Malcolm McLaren","Round The Outside! Round The Outside![RELEASE]"
"World's Famous Supreme Team","Round The Outside! Round The Outside![RELEASE]"
"Eric Benét","Georgy Porgy[RELEASE]"
"Faith Evans","Georgy Porgy[RELEASE]"
"Rockwell Noel","Beat You Down / The Wop Sensation (Remix)[RELEASE]"
"The Poet","Beat You Down / The Wop Sensation (Remix)[RELEASE]"
"Powerful Juvenile","This Stuff Is Dope / Lyrical Homicide (In One Breath)[RELEASE]"
"DJ Adam 12","This Stuff Is Dope / Lyrical Homicide (In One Breath)[RELEASE]"
"2 Brothers On The 4th Floor","Do You Know?[RELEASE]"
"Des'Ray","Do You Know?[RELEASE]"
D-Rock,"Do You Know?[RELEASE]"
747,"Situation Yazz[RELEASE]"
"Israel Ortiz","Situation Yazz[RELEASE]"
"DJ Shadow","Product Placement[RELEASE]"
"Cut Chemist","Product Placement[RELEASE]"
Babu,"Duck Season / Ducky Boy[RELEASE]"
"The Beatnuts","Duck Season / Ducky Boy[RELEASE]"
"Jurassic 5","Duck Season / Ducky Boy[RELEASE]"
"Felix Sama","Bass That Tune / House That Tune[RELEASE]"
"Nick Baby Love","Bass That Tune / House That Tune[RELEASE]"
"George Clinton",T.A.P.O.A.F.O.M.[RELEASE]
"P-Funk All Stars",T.A.P.O.A.F.O.M.[RELEASE]
"George Clinton","Summer Swim[RELEASE]"
"P-Funk All Stars","Summer Swim[RELEASE]"
"Zed Bias","Feel It Out[RELEASE]"
"DJ Injekta","Feel It Out[RELEASE]"
Phuturistix,"Feel It Out[RELEASE]"
"Biz Markie","Nobody Beats The Biz[RELEASE]"
"TJ Swan","Nobody Beats The Biz[RELEASE]"
"East Flatbush Project","Ruste Juxx[RELEASE]"
"Ruste Juxx","Ruste Juxx[RELEASE]"
Murs,"A Tribute To Christina Ricci[RELEASE]"
Slug,"A Tribute To Christina Ricci[RELEASE]"
"Felt (2)","A Tribute To Christina Ricci[RELEASE]"
"DJ Cam","Voodoo Child (DJ Premier Remix)[RELEASE]"
Afu-Ra,"Voodoo Child (DJ Premier Remix)[RELEASE]"
"MF Doom",MF[RELEASE]
"MF Grimm",MF[RELEASE]
"The Weather (5)","The Weather[RELEASE]"
Daedelus,"The Weather[RELEASE]"
Urbanus,"The Scratchin' Zwaantjes[RELEASE]"
"Kris Kastaar","The Scratchin' Zwaantjes[RELEASE]"
I:Cube,"Can You Deal With That ?[RELEASE]"
RZA,"Can You Deal With That ?[RELEASE]"
"DJ Yoda","Quid Control[RELEASE]"
"People Under The Stairs","Quid Control[RELEASE]"
"King Sun","Hey Love / Mythological Rapper[RELEASE]"
D-Moet,"Hey Love / Mythological Rapper[RELEASE]"
"Pete Rock","Tru Master[RELEASE]"
"Inspectah Deck","Tru Master[RELEASE]"
Kurupt,"Tru Master[RELEASE]"
Guru,"Trust Me[RELEASE]"
"N'Dea Davenport","Trust Me[RELEASE]"
"Kwamé","A Day In The Life (A Pokadelick Adventure)[RELEASE]"
"A New Beginning","A Day In The Life (A Pokadelick Adventure)[RELEASE]"
"J.V.C. F.O.R.C.E.","B Boy Posse[RELEASE]"
"Tall Dark & Handsome","B Boy Posse[RELEASE]"
El-P,"A Day Like Any Other Remix (A Day Like No Other)[RELEASE]"
Murs,"A Day Like Any Other Remix (A Day Like No Other)[RELEASE]"
Shing02,"A Day Like Any Other Remix (A Day Like No Other)[RELEASE]"
"Yeshua daPoED","A Day Like Any Other Remix (A Day Like No Other)[RELEASE]"
"Soul II Soul",Fairplay[RELEASE]
"Rose Windross",Fairplay[RELEASE]
Pebbles,Backyard[RELEASE]
"Salt 'N' Pepa",Backyard[RELEASE]
"K & M","Rappers Delight 2003[RELEASE]"
"Sugarhill Gang","Rappers Delight 2003[RELEASE]"
"Grandmaster Flash & The Furious Five","The Message / Rappers Delight[RELEASE]"
"Sugarhill Gang","The Message / Rappers Delight[RELEASE]"
"The Real Roxanne","Roxanne Roxanne & The Real Roxanne[RELEASE]"
UTFO,"Roxanne Roxanne & The Real Roxanne[RELEASE]"
"The Black Flames","Are You My Woman / Bring The Noise[RELEASE]"
"Public Enemy","Are You My Woman / Bring The Noise[RELEASE]"
"Jan Delay","Irgendwie, Irgendwo, Irgendwann[RELEASE]"
"Jan Phillip Eißfeldt","Irgendwie, Irgendwo, Irgendwann[RELEASE]"
"Dennis Dubplate","Irgendwie, Irgendwo, Irgendwann[RELEASE]"
"Absolute Beginner","Irgendwie, Irgendwo, Irgendwann[RELEASE]"
"Eve (2)","Let Me Blow Ya Mind[RELEASE]"
"Gwen Stefani","Let Me Blow Ya Mind[RELEASE]"
Promoe,"The Bad Sleep Well[RELEASE]"
Timbuktu,"The Bad Sleep Well[RELEASE]"
"Kut Masta Kurt","We All Over / Souped Up[RELEASE]"
"Masters Of Illusion","We All Over / Souped Up[RELEASE]"
"Yesterdays New Quintet","Suite For Weldon[RELEASE]"
Breakestra,"Suite For Weldon[RELEASE]"
"Mr. Dibbs","Suite For Weldon[RELEASE]"
Jehst,"Staircase II Stage[RELEASE]"
J-Zone,"Staircase II Stage[RELEASE]"
"Harry Love","Staircase II Stage[RELEASE]"
"Motion Man","Hold Up / Play Dough / Call The National Guard pt.2[RELEASE]"
"Kut Masta Kurt","Hold Up / Play Dough / Call The National Guard pt.2[RELEASE]"
"Per Cussion All Stars","Don't Stop![RELEASE]"
"Grandmaster Funk","Don't Stop![RELEASE]"
"Notorious B.I.G.","Mo Money Mo Problems[RELEASE]"
"Puff Daddy","Mo Money Mo Problems[RELEASE]"
Mase,"Mo Money Mo Problems[RELEASE]"
"Refugee Camp All Stars","The Sweetest Thing[RELEASE]"
"Lauryn Hill","The Sweetest Thing[RELEASE]"
"Darth Fader","100mph Backsliding Turkey Kuts[RELEASE]"
"The Wax Warriors","100mph Backsliding Turkey Kuts[RELEASE]"
Butchwax,"Heavy Petting Breaks[RELEASE]"
"Darth Fader","Heavy Petting Breaks[RELEASE]"
"The Wax Fondler","Heavy Petting Breaks[RELEASE]"
"Del Tha Funkee Homosapien","Inspired By The Film One Big Trip[RELEASE]"
"Swollen Members","Inspired By The Film One Big Trip[RELEASE]"
Sixtoo,"All Star Battle[RELEASE]"
Simahlak,"All Star Battle[RELEASE]"
"J.R. Swinga","Chocolate City / Shorties Kaught In The System[RELEASE]"
"Lord Finesse","Chocolate City / Shorties Kaught In The System[RELEASE]"
"Mos Def","Oh No / Get Up[RELEASE]"
"Nate Dogg","Oh No / Get Up[RELEASE]"
"Pharoahe Monch","Oh No / Get Up[RELEASE]"
"Cocoa Brovaz","Oh No / Get Up[RELEASE]"
Raptile,Rokinyablokz[RELEASE]
"Roger Rekless",Rokinyablokz[RELEASE]
Dejavue,"Made 2 Chill / Stylism[RELEASE]"
"Black Kappa","Made 2 Chill / Stylism[RELEASE]"
"T Love","Return Of The B-Girl EP[RELEASE]"
"This Kid Named Miles","Return Of The B-Girl EP[RELEASE]"
"Kut Masta Kurt","Partnas Confused / Masters Of Illusion[RELEASE]"
"Masters Of Illusion","Partnas Confused / Masters Of Illusion[RELEASE]"
"Afrika Bambaataa","Warlocks And Witches, Computer Chips, Microchips And You[RELEASE]"
"Time Zone","Warlocks And Witches, Computer Chips, Microchips And You[RELEASE]"
"Master Jay",T.S.O.B.[RELEASE]
"Michael Dee",T.S.O.B.[RELEASE]
"Joe Budden","Fire (Yes, Yes Y'all)[RELEASE]"
"Busta Rhymes","Fire (Yes, Yes Y'all)[RELEASE]"
"Talib Kweli","Train Of Thought[RELEASE]"
Hi-Tek,"Train Of Thought[RELEASE]"
"Reflection Eternal","Train Of Thought[RELEASE]"
"The Creators","The Hard Margin[RELEASE]"
"Mos Def","The Hard Margin[RELEASE]"
"Talib Kweli","The Hard Margin[RELEASE]"
"Planet Asia","Don't Let Up[RELEASE]"
"Talib Kweli","Don't Let Up[RELEASE]"
"Grandmaster Flash & The Furious Five","White Lines (Don't Don't Do It)[RELEASE]"
"Melle Mel","White Lines (Don't Don't Do It)[RELEASE]"
"Duke Bootee","White Lines (Don't Don't Do It)[RELEASE]"
"LG (2)","Rocket Fuel[RELEASE]"
"Lopez (2)","Rocket Fuel[RELEASE]"
"Method Man","Party & Bulls***[RELEASE]"
"Teddy Riley","Party & Bulls***[RELEASE]"
Musiq,"Just Friends (Sunny) / Even If[RELEASE]"
"Method Man","Just Friends (Sunny) / Even If[RELEASE]"
"Alicia Keys","Streets Of New York[RELEASE]"
Nas,"Streets Of New York[RELEASE]"
Rakim,"Streets Of New York[RELEASE]"
Common,"Car Horn[RELEASE]"
"The 45 King","Car Horn[RELEASE]"
"Indelible Mc's","Weight / Mucho Stereo[RELEASE]"
BMS,"Weight / Mucho Stereo[RELEASE]"
"Tear Da Club Up Thugs",CrazyNDaLazDayz[RELEASE]
"Three 6 Mafia",CrazyNDaLazDayz[RELEASE]
"Bone Idols","Keep On / Can't Live Like This[RELEASE]"
Aphletik,"Keep On / Can't Live Like This[RELEASE]"
"Terminator X","Super Bad[RELEASE]"
"The Godfathers Of Threatt","Super Bad[RELEASE]"
"Ukai Seiji","My First Soondie EP.[RELEASE]"
"Gebo (2)","My First Soondie EP.[RELEASE]"
Jewel-T,"Believe It Or Not[RELEASE]"
LTC,"Believe It Or Not[RELEASE]"
"Vandy C","""V"" The Viper / Let's Whop[RELEASE]"
"Bill Blast","""V"" The Viper / Let's Whop[RELEASE]"
"Doctor Ice","""V"" The Viper / Let's Whop[RELEASE]"
"T Funk","""V"" The Viper / Let's Whop[RELEASE]"
"Ultimate II","It's Blue / Vicky Love[RELEASE]"
"Speedy J (2)","It's Blue / Vicky Love[RELEASE]"
"Hot Day","Hot Day Master Mix / The Super Kids Live At Hip Hop U.S.A. / Go Queensbridge[RELEASE]"
"Super Kids","Hot Day Master Mix / The Super Kids Live At Hip Hop U.S.A. / Go Queensbridge[RELEASE]"
"Camu Tao","WMR (Weathermen Radio) / Homesickness / Life With Snarky Parker[RELEASE]"
EL-P,"WMR (Weathermen Radio) / Homesickness / Life With Snarky Parker[RELEASE]"
Despot,"WMR (Weathermen Radio) / Homesickness / Life With Snarky Parker[RELEASE]"
"The Perceptionists","Medical Aid[RELEASE]"
"4th Pyramid","Medical Aid[RELEASE]"
RZA,"Wu-Wear: The Garment Renaissance / Get Down For Mine[RELEASE]"
"Real Live","Wu-Wear: The Garment Renaissance / Get Down For Mine[RELEASE]"
A.L.T.,"Another Latin Timebomb[RELEASE]"
"The Lost Civilization","Another Latin Timebomb[RELEASE]"
"The Prof.","My Favorite Ladies / All Outta Ale[RELEASE]"
"The Super Villain","My Favorite Ladies / All Outta Ale[RELEASE]"
2Pac,"Still I Rise[RELEASE]"
"The Outlawz","Still I Rise[RELEASE]"
"One (46)","Verbal Affairs / Empire Staters[RELEASE]"
B-1,"Verbal Affairs / Empire Staters[RELEASE]"
"ed 209","Super Exstatic[RELEASE]"
eyezofman,"Super Exstatic[RELEASE]"
Cappo,"Super Exstatic[RELEASE]"
A-Bomb,"Super Exstatic[RELEASE]"
eyezofman,"Lost Kingdoms EP[RELEASE]"
A-Bomb,"Lost Kingdoms EP[RELEASE]"
"Greg G","Doin The Cos[RELEASE]"
"T Money","Doin The Cos[RELEASE]"
"Robbie B","Rock The Go-Go[RELEASE]"
"Jazzy J","Rock The Go-Go[RELEASE]"
"Jam Rock Massive","Stop The Violence[RELEASE]"
KRS-One,"Stop The Violence[RELEASE]"
"Disco Twins","Do The Whop / Get Back[RELEASE]"
"Starchild (17)","Do The Whop / Get Back[RELEASE]"
"La La The Leader Of The Pack","The Wop[RELEASE]"
"MC Flash (2)","The Wop[RELEASE]"
"MC Breeze (2)","Another Sad Song[RELEASE]"
"DJ Hand Master Flash","Another Sad Song[RELEASE]"
"Phi-Life Cypher","The Chosen Few EP[RELEASE]"
"Task Force (2)","The Chosen Few EP[RELEASE]"
"Ben Chapman",Supersonic[RELEASE]
"Silver Bullet",Supersonic[RELEASE]
"Tommy Evans","Northern Hospitality / Trials Of Life 2004[RELEASE]"
Arro,"Northern Hospitality / Trials Of Life 2004[RELEASE]"
"Doctor Rocx And Co.","That's Deep / Go Brush[RELEASE]"
"Imperial King Roc","That's Deep / Go Brush[RELEASE]"
"Devastatin' Dee","That's Deep / Go Brush[RELEASE]"
"Lidell Townsell","Step To It[RELEASE]"
"The People (3)","Step To It[RELEASE]"
"Masta Ace Incorporated",Slaughtahouse[RELEASE]
"MC Negro",Slaughtahouse[RELEASE]
"The Ignorant MC",Slaughtahouse[RELEASE]
"Marley Marl","Droppin' Science[RELEASE]"
"Craig G","Droppin' Science[RELEASE]"
Rasco,"Gunz Still Hot / Stomp[RELEASE]"
Flii,"Gunz Still Hot / Stomp[RELEASE]"
Octavius,"Electric Third Rail[RELEASE]"
"4AM (2)","Electric Third Rail[RELEASE]"
"Unsung Heroes","The Norm / Transatlantic[RELEASE]"
Siah,"The Norm / Transatlantic[RELEASE]"
"Yeshua daPoED","The Norm / Transatlantic[RELEASE]"
E-Type,"Numania 1[RELEASE]"
"Stakka Bo","Numania 1[RELEASE]"
"Def Squad","So Sweet[RELEASE]"
"Erick Onasis","So Sweet[RELEASE]"
"Kwamé",Nastee[RELEASE]
